object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,contents,evenodd,fill,fontname,linewidth,non_stroking_color,points,pts,size,stroke,stroking_color,text,title,upright,uri
char,2,49.2476,53.687599999999996,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,4.439999999999998,15.0,0.296,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1], ,,1,
char,2,53.687599999999996,62.297599999999996,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.61,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],F,,1,
char,2,62.2976,66.19760000000001,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,3.9000000000000057,15.0,0.26,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],i,,1,
char,2,66.1976,75.6476,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,9.450000000000003,15.0,0.63,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],d,,1,
char,2,75.6476,84.2576,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.61,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],e,,1,
char,2,84.2576,88.1576,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,3.9000000000000057,15.0,0.26,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],l,,1,
char,2,88.15759999999999,92.0576,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,3.9000000000000057,15.0,0.26,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],i,,1,
char,2,92.05759999999998,97.89259999999997,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,5.834999999999994,15.0,0.389,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],t,,1,
char,2,97.89259999999999,105.67759999999998,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,7.784999999999997,15.0,0.519,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],y,,1,
char,2,105.67759999999998,110.11759999999998,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,4.439999999999998,15.0,0.296,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1], ,,1,
char,2,110.1176,120.9476,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,10.829999999999998,15.0,0.722,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],A,,1,
char,2,120.94759999999998,128.17759999999998,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,7.230000000000004,15.0,0.482,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],c,,1,
char,2,128.17759999999998,135.40759999999997,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,7.22999999999999,15.0,0.482,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],c,,1,
char,2,135.4076,144.5576,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,9.150000000000006,15.0,0.61,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],o,,1,
char,2,144.55759999999998,153.1676,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.610000000000014,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],u,,1,
char,2,153.1676,161.7776,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.610000000000014,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],n,,1,
char,2,161.7776,167.61260000000001,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,5.835000000000008,15.0,0.389,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],t,,1,
char,2,167.6126,172.05259999999998,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,4.439999999999998,15.0,0.296,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1], ,,1,
